Timestamp,PersonBox,MaskLabel
2025-08-12T17:29:32.655384,"46,46,1785,1072",No Mask
2025-08-12T17:29:32.790177,"54,46,1791,1072",No Mask
2025-08-12T17:29:32.925143,"58,49,1815,1071",No Mask
2025-08-12T17:29:33.055441,"61,40,1801,1072",No Mask
2025-08-12T17:29:33.190094,"73,48,1799,1070",No Mask
2025-08-12T17:29:33.322654,"72,37,1819,1073",No Mask
2025-08-12T17:29:33.463396,"55,31,1819,1071",No Mask
2025-08-12T17:29:33.587369,"75,38,1801,1070",No Mask
2025-08-12T17:29:33.724853,"372,38,1806,1071",No Mask
2025-08-12T17:29:33.855410,"368,34,1793,1072",No Mask
2025-08-12T17:29:33.989931,"196,45,1788,1070",No Mask
2025-08-12T17:29:34.128043,"166,48,1794,1072",No Mask
2025-08-12T17:29:34.254454,"133,47,1797,1072",No Mask
2025-08-12T17:29:34.397400,"449,47,1757,1071",No Mask
2025-08-12T17:29:34.520263,"175,56,1764,1071",No Mask
2025-08-12T17:29:34.657507,"236,66,1751,1070",No Mask
2025-08-12T17:29:34.795040,"162,65,1783,1070",No Mask
2025-08-12T17:29:34.921468,"209,86,1780,1071",No Mask
2025-08-12T17:29:35.065013,"130,89,1775,1071",No Mask
2025-08-12T17:29:35.192805,"163,92,1752,1071",No Mask
2025-08-12T17:29:35.325185,"115,94,1754,1071",No Mask
2025-08-12T17:29:35.459349,"131,95,1754,1072",No Mask
2025-08-12T17:29:35.591144,"186,94,1751,1072",No Mask
2025-08-12T17:29:35.734238,"195,92,1745,1072",No Mask
2025-08-12T17:29:35.853077,"150,94,1752,1072",No Mask
2025-08-12T17:29:35.991083,"175,95,1749,1072",No Mask
2025-08-12T17:29:36.128650,"199,95,1745,1072",No Mask
2025-08-12T17:29:36.256854,"167,103,1740,1074",No Mask
2025-08-12T17:29:36.394417,"158,105,1740,1074",No Mask
2025-08-12T17:29:36.523474,"172,106,1742,1074",No Mask
2025-08-12T17:29:36.658826,"167,109,1746,1073",No Mask
2025-08-12T17:29:36.792843,"178,111,1745,1074",No Mask
2025-08-12T17:29:36.924590,"169,113,1764,1073",No Mask
2025-08-12T17:29:37.061349,"157,111,1740,1073",No Mask
2025-08-12T17:29:37.192795,"159,119,1738,1071",No Mask
2025-08-12T17:29:37.323206,"164,119,1741,1071",No Mask
2025-08-12T17:29:37.463167,"221,116,1731,1070",No Mask
2025-08-12T17:29:37.590737,"206,121,1722,1068",No Mask
2025-08-12T17:29:37.727217,"196,130,1710,1069",No Mask
2025-08-12T17:29:37.857019,"214,138,1702,1068",No Mask
2025-08-12T17:29:37.993485,"218,141,1694,1068",No Mask
2025-08-12T17:29:38.126344,"216,141,1697,1069",No Mask
2025-08-12T17:29:38.260076,"197,141,1659,1068",No Mask
2025-08-12T17:29:38.393819,"201,139,1681,1068",No Mask
2025-08-12T17:29:38.525595,"196,135,1639,1069",No Mask
2025-08-12T17:29:38.663561,"195,131,1597,1069",No Mask
2025-08-12T17:29:38.789667,"201,129,1660,1069",No Mask
